#Criptografía 2021-1
#Castillo López Humberto Serafín
#García Racilla Sandra
#Sánchez Escobar Fernando
#Vectores de prueba cifrado-descifrado
#
plain = 834EADFCCAC7E1B3
#
plain = 0664B1ABA44815AB
#
plain = D9DC4DBA3021B05D
#
plain = 67C0518F72B62BF1
#
plain = A291D86301A4A739
#
plain = F7392173AA3C604C
#
plain = 4264B2696498DE4D
#
plain = F79788A9F83E9390
#
plain = EE9932B3721804D5
#
plain = A83EF5949245B6F6
#
plain = E6248F55C5FDCBCA
#
plain = 9CBBB01C88A2EA77
#
plain = B8358E41B9DFF65F
#
plain = D461D55A99266247
#
plain = F0E2D72260AF58E2
#
plain = 1E015AB3A4C0D906
#
plain = 475B8B823CE8893D
#
plain = B3C44A9F2A379FF7
#
plain = 688F528194581286
#
plain = 2F5F3076CF80412F
#
plain = 014730f80ac625fe84f026c60bfd547d
#
plain = 0b24af36193ce4665f2825d7b4749c98
#
palin = 761c1fe41a18acf20d241650611d90f1
#
plain = 8a560769d605868ad80d819bdba03771
#
plain = 91fbef2d15a97816060bee1feaa49afe
#
plain = ffffffffffffffffffffffffffffe000
#
plain = D7C544DE91D55CFCDE1F84CA382200CE
#
plain = 834EADFCCAC7E1B30664B1ABA44815AB
#
plain = FED3C9A161B9B5B2BD611B41DC9DA357
#
plain = 4F634CDC6551043409F30B635832CF82
#
plain = 08D1D2BC750AF553365D35E75AFACEAA
#
plain = 80000000000000000000000000000000
#
plain = c0000000000000000000000000000000
#
plain = e0000000000000000000000000000000
#
plain = f0000000000000000000000000000000
#
plain = f8000000000000000000000000000000 
#
plain = fc000000000000000000000000000000
#
plain = fe000000000000000000000000000000
#
plain = ff000000000000000000000000000000
#
plain = ff800000000000000000000000000000
#
plain = 4EA6DFABA2D8A02FFDFFA89835987242FED3C9A161B9B5B2BD611B41DC9DA357
#
plain = ffc00000000000000000000000000000ffe00000000000000000000000000000 
#
plain = fff00000000000000000000000000000fff80000000000000000000000000000
#
plain = fffc0000000000000000000000000000fffe0000000000000000000000000000
#
plain = ffff0000000000000000000000000000ffff8000000000000000000000000000
#
plain = ffffc000000000000000000000000000ffffe000000000000000000000000000
#
plain = fffff000000000000000000000000000fffff800000000000000000000000000
#
plain = fffffc00000000000000000000000000fffffe00000000000000000000000000
#
plain = ffffff00000000000000000000000000ffffff80000000000000000000000000
#
plain = ffffffc0000000000000000000000000ffffffe0000000000000000000000000
#
plain = fffffff0000000000000000000000000fffffff8000000000000000000000000
#
plain = fffffffc000000000000000000000000fffffffe000000000000000000000000
#
plain = ffffffff000000000000000000000000ffffffff800000000000000000000000
#
plain = ffffffffc00000000000000000000000ffffffffe00000000000000000000000
#
plain = fffffffff00000000000000000000000fffffffff80000000000000000000000
#
plain = fffffffffc0000000000000000000000fffffffffe0000000000000000000000
#
plain = ffffffffff0000000000000000000000ffffffffff8000000000000000000000
#
plain = ffffffffffc000000000000000000000ffffffffffe000000000000000000000
#
plain = fffffffffff000000000000000000000fffffffffff800000000000000000000
#
plain = fffffffffffc00000000000000000000fffffffffffe00000000000000000000
#
plain = 8707121F47CC3EFCECA5F9A8474950A1E51AA0B135DBA566939C3B6359A980C5069A007FC76A459F98BAF917FEDF9521
#
plain = 726165C1723FBCF6C026D7D00B091027D7C544DE91D55CFCDE1F84CA382200CEFED3C9A161B9B5B2BD611B41DC9DA357
#
plain = 4F634CDC6551043409F30B635832CF82109CE98DB0DFB36734D9F3394711B4E64EA6DFABA2D8A02FFDFFA89835987242
#
plain = 5AE094F54AF58E6E3CDBF976DAC6D9EF764D8E8E0F29926DBE5122E66354FDBE3F0418F888CDF29A982BF6B75410D6A9
#
plain = E4A3E7CB12CDD56AA4A75197A9530220211677684AAC1EC1A160F44C4EBF3F26D21E439FF749AC8F18D6D4B105E03895
#
plain = D9F6FF44646C4725BD4C0103FF5552A70B1256C2A00B976250CFC5B0C37ED382B056447FFC6DC4523A36CC2E972A3A79
#
plain = 5E25CA78F0DE55802524D38DA3FE4456A5BCF4728FA5EAAD8567C0DC24675F83814E59F97ED84646B78B2CA022E9CA43
#
plain = 15478BEEC58F4775C7A7F5D4395514D7253548FFCA461C67C8CBC78CD59F4756FD7AD8D73B9B0F8CC41600640F503D65
#
plain = 06199DE52C6CBF8AF954CD65830BCD56F17C4FFE48E44C61BD891E257E7257949A5B4A402A3E8A59BE6BF5CD8154F029
#
plain = 79BD40B91A7E07DC939D441782AE6B17D8CEAAF8976E5FBE1012D8C84F3237993316E2751E2E388B083DA23DD6AC3FBE
#
plain = 8B7CFBE37DE7DCA793521819242C5816F23F033C0EEBF8EC55752662FD58CE6859EB34F6C8BDBACC5FC6AD73A59A1301
#
plain = DCDE8B6BD5CF7CC22D9505E3CE81261AE33CF7E524FED781E7042FF9F4B35DC727963C8FACDF73062867D164DF6D064C
#
plain = 77B1CE386B551B995F2F2A1DA994EEF8F083388B013679EFCF0BB9B15D52AE5CC5009E0DAB55DB0ABDB636F2600290C8
#
plain = 7804881E26CD532D8514D3683F00F1B946CDDCD73D1EB53E675CA012870A92A3A9FB44062BB07FE130A8E8299EACB1AB
#
plain = 2B6FF8D7A5CC3A28A22D5A6F221AF26B1A9527C29B8ADD4B0E3E656DBB2AF8B47F99CF2C75244DF015EB4B0C1050AEAE
#
plain = E84FF85B0D9454071909C1381646C4ED89AFD40F99521280D5399B12404F6DB4A09EF32DBC5119A35AB7FA38656F0329
#
plain = 61773457F068C376C7829B93E696E716A34F0CAE726CCE41DD498747D891B967856F59496C7388EE2D2B1A27B7697847
#
plain = CB090C593EF7720BD95908FB93B49DF4A0AC75CD2F1923D460FC4D457AD95BAF2A2B282974777689E8E9EEEF525D5C5F
#
plain = 909192939390919E0F0E09089788898A777675748D8E8F907170777649464744717073720605040B2D2C2B2A05FAFBF9
#
plain = 64656667FEFDFCC31B1A1D1CA5AAABA8DBDAD9D86A696867B5B4B3B2C8D7D6D55C5D5E5FE3E0E1FE31303736333C3D3E
#
plain = 545556574B48494673727574546B6A69ECEDEEEFC6C5C4BB56575051F5FAFBF8464744452724252AC9C8CFCED2CDCCCFE6E7E4E54142435C878681801C131211
#
plain = 72737071CFCCCDC2F9F8FFFE710E0F0C505152537370714EC3C2C5C4010E0F0CA8A9AAAB5C5F5E51AEAFA8A93D222320DEDFDCDDF6F5F4EB10111617FEF1F0F3
#
plain = BDBCBFBE5E5D5C530B0A0D0CFAC5C4C78A8B8889050606F8F4F5F2F3636C6D6EA6A7A4A54D4E4F40B2B3B4B5392627249C9D9E9FE9EAEBF40E0F08099B949596
#
plain = 2D2C2F2E1013121DCCCDCACBED121310F4F5F6F7EDEEEFD0EAEBECEDF7F8F9FA3D3C3F3E282B2A2573727574150A0B08B6B7B4B5F8FBFAE5B4B5B2B3A0AFAEAD
#
plain = B7B6B5B4989B9A95878681809BA4A5A6A8A9AAABE5E6E798E9E8EFEE4748494AECEDEEEFD9DADBD4B9B8BFBE657A7B787F7E7D7C696A6B74CACBCCCD929D9C9F
#
plain = 08090A0B0605040BFFFEF9F8B9C6C7C408090A0BF1F2F3CCFCFDFAFB68676665CACBC8C93A393837050403020D121310E9E8EBEA8281809F8F8E8988343B3A39
#
plain = 515053524645444BD0D1D6D7340B0A0942434041ECEFEE1193929594C6C9C8CBEFEEEDECC2C1C0CF76777071455A5B585F5E5D5C3F3C3D221D1C1B1A19161714
#
plain = ffffffffffff00000000000000000000ffffffffffff80000000000000000000ffffffffffffc0000000000000000000ffffffffffffe0000000000000000000
#
plain = fffffffffffff0000000000000000000fffffffffffff8000000000000000000fffffffffffffc000000000000000000fffffffffffffe000000000000000000
#
plain = ffffffffffffff000000000000000000ffffffffffffff800000000000000000ffffffffffffffc00000000000000000ffffffffffffffe00000000000000000
#
plain = fffffffffffffff00000000000000000fffffffffffffff80000000000000000fffffffffffffffc0000000000000000fffffffffffffffe0000000000000000
#
plain = ffffffffffffffff0000000000000000ffffffffffffffff8000000000000000ffffffffffffffffc000000000000000ffffffffffffffffe000000000000000
#
plain = fffffffffffffffff000000000000000fffffffffffffffff800000000000000fffffffffffffffffc00000000000000fffffffffffffffffe00000000000000
#
plain = ffffffffffffffffff00000000000000ffffffffffffffffff80000000000000ffffffffffffffffffc0000000000000ffffffffffffffffffe0000000000000
#
plain = fffffffffffffffffff0000000000000fffffffffffffffffff8000000000000fffffffffffffffffffc000000000000fffffffffffffffffffe000000000000
#
plain = ffffffffffffffffffff000000000000ffffffffffffffffffff800000000000ffffffffffffffffffffc00000000000ffffffffffffffffffffe00000000000
#
plain = fffffffffffffffffffff00000000000fffffffffffffffffffff80000000000fffffffffffffffffffffc0000000000fffffffffffffffffffffe0000000000
#
plain = ffffffffffffffffffffff0000000000ffffffffffffffffffffff8000000000ffffffffffffffffffffffc000000000ffffffffffffffffffffffe000000000
#
plain = fffffffffffffffffffffff000000000fffffffffffffffffffffff800000000fffffffffffffffffffffffc00000000fffffffffffffffffffffffe00000000
#
plain = ffffffffffffffffffffffff00000000ffffffffffffffffffffffff80000000ffffffffffffffffffffffffc0000000ffffffffffffffffffffffffffffffff
#Este archivo contiene 100 vectores de prueba
